MARKET,종목명,종목코드,매수가,수량
KOSPI,TIGER 미국 S&P500,360750,27910,35
KOSPI,TIGER 미국 나스닥100,133690,194325,7
KOSPI,삼성전자,005930,269000,190
KOSPI,KoAct 미국 나스닥 성장기업 액티브,0015B0,21730,100
KOSPI,현대차,005380,430500,50
KOSPI,SK하이닉스,000660,1924000,21
KOSPI,KODEX 전고체배터리ESS TOP2플러스,0209D0,7205,236
KOSPI,DB하이텍,000990,111000,20
KOSPI,HANARO Fn K-반도체,395270,59120,150
KOSPI,LS ELECTRIC,010120,190000,4
KOSPI,한미반도체,042700,209000,4
KOSPI,KODEX 코스피100,237350,89405,13
KOSPI,삼성전기,009150,1325000,3
AMEX,State Street SPDR S&P 500 ETF Turst,SPY,$797.36,20
NASDAQ,테슬라,TSLA,$420.79,1
